patch,distSum,avgRip,avgImp,dams,ripMin,impMax,HWsigBY,LDsigBY,genic.sigBY,N,Nsamples,meanAr,sdAr,patchAr,fst,fstP
6109085,4.6249998,82.70862271,0.256423785,0,49,1.28,0,1,1,37,3,3.595524898,0.316317779,3.834807492,0.015841978,0.008991009
6109109,5.226,65.65248412,1.129735936,0,44.5,2.53,0,1,3,27,2,3.943679527,0.30089349,3.989465008,0.033031136,0.03996004
6109219,7.1119999,68.1567328,0.588831553,0,32.6399994,0.73,1,1,3,37,2,4.117004264,0.285115357,4.265778032,0.029741884,0.000999001
6109255,2.314,74.01814103,9.362078852,0,73.2300034,10.5100002,1,1,0,29,2,3.752317859,0.154992762,3.800422076,-0.008233263,0.190809191
6109285,7.7989998,71.1564527,2.815104427,0,56.3499985,5.0599999,0,1,5,50,3,3.483487807,0.064156969,3.727156707,0.048267311,0.000999001
6109437,3.094,79.45939654,1.61434393,1,77.7099991,2.1500001,2,5,5,39,2,3.356616797,0.255510808,3.549209512,0.120375093,0.000999001
6109449,4.8360001,72.14730403,3.073777963,0,58.9599991,3.28,0,0,0,37,2,3.989078569,0.572232375,4.342147347,0.021238671,0.514485514
6109457,8.06,60.57560595,0.934936725,0,28.3899994,1.3,0,1,4,48,2,4.26178606,0.045160082,4.425752529,0.027206824,0.000999001
6162419,1.434,76.97797662,0.355997211,0,65.2099991,0.53,0,0,0,17,2,3.34035976,0.215536462,3.458513916,-0.01119256,0.765234765
6162435,0.229,77.48510799,0.191266376,0,65.4499969,0.29,0,0,0,16,2,3.348447016,0.016277395,3.480569495,-0.014878622,0.470529471
6162481,3.07,78.88730954,1.343911997,0,76.0599976,1.4299999,0,0,1,39,2,3.521609909,0.222037142,3.61743803,0.021562038,0.01998002
6162491,10.639,70.62256757,1.623481548,1,25.3299999,4.6999998,2,6,7,64,3,3.611549096,0.152859155,3.920715673,0.050253968,0.000999001
6162579,6.595,70.51391347,0.733572403,1,50.2099991,0.93,1,2,2,32,2,3.74823701,0.073923046,3.964341953,0.030855838,0.003996004
6162929,7.8709999,83.51426552,0.656786938,0,63.2000008,0.84,0,1,2,27,2,3.857827979,0.197485102,4.128986609,0.037287728,0.000999001
6162967,7.5800001,71.5551011,1.769948544,1,54.1899986,3.45,4,16,8,41,2,3.520298626,0.675838652,4.01881697,0.139407165,0.000999001
6168310,7.604,62.02783086,0.827886639,1,48.1699982,0.95,0,0,2,31,3,3.716003917,0.185694002,3.981975018,0.039655222,0.008991009
7700302,2.473,69.64427329,1.090420542,0,68.75,1.33,2,2,1,19,2,3.801744239,0.295143621,4.068848558,0.089292136,0.000999001
7712058,6.0000001,63.80870652,0.413463333,0,48.3699989,0.56,0,0,0,19,2,4.156761334,0.03982694,4.281906388,-0.001740079,0.525474525
7712984,5.887,65.03723764,1.109201646,0,44.5,1.67,0,0,2,12,2,3.094003838,0.728556719,3.608100914,0.074820983,0.001998002
